bottler,label_cor,label_dis,feature_value
BIG#Chongqing / 重庆,2,1,"[34.3362149108293, 36.3825340695995, 35.4603362275533, 35.507802835505295, 34.4840057661315, 34.5819704723137, 35.7470457723807, 36.5879693074331, 37.3252298243912, 37.2755561050398, 36.4363374213898, 36.116539257335894, 33.4833313994121, 35.407890931569796, 35.8187747121969, 38.096705362399504, 38.8154087105159, 38.9714198273046, 39.556555803133996, 39.2451450311939, 39.4025117931414, 40.266233626265794, 38.4069693079474, 38.18814626600079, 37.748179003534204, 38.4917116344293, 38.39364086727829, 39.7959728608536, 40.1104936795099, 40.5546905634929, 39.87441911845121, 39.167398585545, 40.8139778537207, 40.6796909842939, 39.8052953822612]"
BIG#Guangxi / 广西,0,0,"[49.8628298013214, 49.086001527561706, 51.082744350775606, 52.1730445879104, 53.1778993842256, 54.1004677940849, 54.691017957914106, 55.427926471583795, 55.3167076920045, 55.6656158640532, 54.6022649450284, 54.762950044972804, 54.032226632799905, 53.361141817399705, 54.3370101358745, 54.77494716696629, 56.434478429942, 56.542326699078295, 57.3388796604743, 57.629008342983504, 58.5870378495205, 58.519542299400904, 57.3544338334105, 56.8181499172849, 56.4267556091136, 55.94858893348739, 55.8328738248015, 58.8179170174903, 59.271778409700794, 59.8728838357366, 60.1819540477411, 60.534180680187596, 61.415113164215605, 61.6608662514432, 61.820545828695195]"
BIG#Heilongjiang / 黑龙江,2,1,"[34.0205967507381, 35.28103759533379, 36.7155443012376, 38.206839597214206, 36.8643000151877, 37.8852354539452, 38.9313596688126, 37.8421607469944, 37.8085349699621, 37.661597291204295, 36.578411786424, 36.87784611905229, 37.8028365548998, 38.5771780303685, 38.7983273999093, 38.8057937437271, 37.2503445152985, 37.6961955924177, 39.3697502598035, 37.6749856249633, 37.7346236490154, 38.335496262274106, 37.721592333682295, 37.8029665513582, 37.279056760234, 38.3587827601343, 38.0840562149666, 37.9472737603256, 36.906927853650295, 36.219329019274, 36.891588016246295, 37.6618256214218, 37.845609867889706, 38.5174658507923, 37.3990072437666]"
BIG#Hubei / 湖北,0,1,"[35.37295294629529, 36.561996376897994, 37.531612620949296, 37.1930822571104, 39.1397855917387, 39.449294704459795, 39.787689316701496, 40.395976095137, 39.490028789532, 39.8429546414471, 39.207523445736605, 40.2610844451689, 38.4347787748557, 40.0063028845959, 40.1654765395478, 39.813206161845606, 39.3479321486276, 40.1317209990717, 40.7111794666837, 41.171769341542294, 42.7699737436332, 43.767550306062496, 42.1701986659089, 41.9785714712383, 42.9464323838395, 44.4887256762277, 44.793018885405104, 46.045680248351296, 45.134008534124206, 44.0598110865135, 44.52683606803221, 45.5325355547877, 45.306423691960404, 45.984531503209105, 44.516224477280396]"
BIG#Jilin / 吉林,0,1,"[30.325842765523802, 31.6241085424578, 35.6576831435656, 35.683120966505, 35.3476134060001, 35.178253054422804, 36.051456832336505, 37.0975134060846, 37.715976940581896, 36.9616919390134, 35.2632954068218, 34.897417103235696, 36.228292090621, 36.9717352116749, 36.6045542167595, 37.7038572173869, 35.6684072719427, 37.308558671065796, 38.3829343341779, 37.444638525079704, 37.553941166503, 38.004610262895206, 37.5969392102596, 38.7685446821102, 36.818064769598706, 36.094924646981, 37.9135367166496, 37.6896710452936, 37.811940240766795, 37.8826886293332, 38.0381249878201, 38.589782473200394, 39.6753166955256, 40.325292529859205, 38.81777691174631]"
BIG#Liaoning / 辽宁,0,0,"[49.584798926104604, 49.9983113139878, 51.804964521551, 51.901046200536, 53.461585752679994, 53.840903047968794, 54.55304216862129, 53.919902760942, 52.440678170328, 51.886215197059, 52.6113126559257, 52.49960457707561, 52.278613328187895, 53.203706267378905, 54.829769050481204, 55.8427764529195, 55.3319125560312, 55.502800766439506, 54.381397010885, 54.9459097712905, 56.7848474183205, 57.463161525366104, 55.292327445062504, 54.3367502185431, 55.033500789862, 56.138856771466706, 55.3165249279914, 56.024973392871, 55.513322400528004, 56.0588211376084, 56.7092614024841, 56.556687009273396, 57.210360038423204, 62.580857318933404, 60.2828474613195]"
BIG#Liaoning North / 辽宁-北,0,2,"[44.043818624787995, 43.292286561286296, 43.286813102961, 43.536106449621805, 45.9590323388588, 46.5744229193717, 48.41973551443979, 48.9364466841935, 46.5713109790709, 46.6638378370693, 47.4485914181986, 48.574076216519096, 48.14469246634279, 48.4807888324615, 49.5903447961063, 50.7340406079094, 50.018945508901, 51.183322118010395, 50.760013557134, 51.5572968128036, 54.0044377211719, 53.4257208864727, 50.2538969890539, 50.373064972870296, 50.32407265282679, 50.4953215304971, 50.738108987542105, 52.0896037399817, 51.4016762888379, 51.38663221149471, 51.85074718197579, 52.1039924606051, 52.9880040146171, 60.4397102638856, 56.83916406759871]"
BIG#Liaoning South / 辽宁-南,2,0,"[53.7178983065485, 54.8205890872104, 57.6718561719726, 57.36248369443379, 58.7038200732208, 58.8030041202726, 58.5817613103118, 57.3519865722886, 56.22282418859071, 55.413859916798295, 55.8919109694569, 54.9673003663563, 55.1852269707024, 56.49950079136949, 58.5965809484642, 59.69916215048529, 59.27392750087439, 59.045214309544896, 57.4563030548984, 57.559578724076005, 59.02985315954571, 60.5602767354233, 59.45423785259911, 57.9290604238582, 58.876938176745206, 60.56836147095961, 59.14777234128329, 59.589888345289204, 59.10182369087521, 60.08118120615521, 60.870182091799705, 60.34367698562329, 60.8616852150866, 64.6634712456913, 63.42550831290689]"
BIG#Shanxi / 山西,2,0,"[47.7876066422034, 48.6496884785253, 49.6456538733512, 48.762256762556106, 48.9007945865277, 49.578481595659596, 50.08782959756579, 49.340697923728506, 49.628126197876504, 50.0817150214321, 50.1094603729776, 48.7053494499956, 48.3992789082942, 50.226429871447, 51.3872575205114, 52.507479091481706, 53.1944035921449, 51.3247527139281, 52.284783980878295, 53.3769759295976, 53.336838429306404, 53.34109477887, 53.1514050685983, 52.7094975646968, 51.226667737677005, 53.8050658923589, 54.505921781264, 55.5281736410394, 56.401174173449895, 55.0808278768296, 54.7348008564004, 53.9245263389808, 54.6943152266334, 55.00216018962689, 54.83101132100289]"
BIG#Shenmei / 申美,2,2,"[45.658769318889505, 47.07738193256429, 48.0828588791471, 48.671070949123894, 47.627909363853995, 48.7196745304679, 49.015345276708004, 48.4458097075595, 49.3149871502439, 49.003996879269295, 49.316208510777294, 49.1830693273402, 48.7691206458742, 48.4952827170373, 48.3586220386854, 49.1804364974158, 49.74321076376229, 49.5948305798498, 50.7129764988873, 50.16393595418779, 50.133073615704205, 50.4566864452972, 51.0269606515802, 51.514620720314, 50.5887275477663, 51.017122714393395, 51.3823143485726, 52.0537712897458, 51.820431746784294, 51.0839752448483, 52.9854105512125, 53.8191139555932, 55.81921833021401, 56.5182444350767, 56.9687250866792]"
